date,id,problem,langauge,complexity,status,time_min,notes
2025-06-04,217,contains_duplicate,python,O(n),passed,5,first easy done
2025-06-04,125,valid_palindrome,python,O(n),passed,15,second easy done
2025-06-04,724,pivot_index,python,O(n),passed,10,third easy done
2025-06-04,64,find_max_average,python,O(n),passed,8,fourth easy done
2025-06-04,3,length_of_longest_substring,python,O(n),passed,18,first easy done
2025-06-05,151,reverse_words,python,O(n),passed,2,first medium done
2025-06-05,76,minimum_window_substring,python,O(n),passed,35,first hard done
2025-06-05,11,container_with_most_water,python,O(n),passed,4,second medium done
2025-06-05,189,rotate_array,python,O(n),passed,15,third medium done
2025-06-07,42,trapping_rain_water,python,O(n),passed,50,second hard done
2025-06-07,53,max_sub_array,python,O(n),passed,40,medium done
2025-06-07,238,product_of_array_except_self,python,O(n),passed,50,medium done
2025-06-07,560,subarray_sum_equals_k,python,O(n),passed,20,medium done
2025-06-07,594,longest_harmonious_subsequence,c++,O(n),passed,15,easy done
2025-06-07,206,reverse_linked_list,c++,O(n),passed,25,Linked_list_easy_done
2025-06-12,15,three_sum,python,O(n^2),passed,13,medium finished
2025-06-12,18,four_sum,python,O(n^3),passed,20,medium finished
2025-06-12,20,is_valid,python,O(n), passed,15,easy done
2025-06-13,70,climb_stairs,python,O(n),passed,10,easy done
2025-06-16,198,robbing_houses,python,O(n),passed,15,completed
2025-06-17,53,max_subarray,python,O(n),passed,10,redo as dp
2025-06-17,53,max_subarray,python,O(n),passed,10,redid as Kadane for constant space
2025-06-17,121,max_profit,python,O(n),passed,5,easy done
2025-06-17,22,generate_parantheses,python,O(4^n/ root(n)),passed,35,medium done
2025-06-18,3443,max_manhattan_distance,python,O(3n),passed,50,had to look up solution
2025-06-18,706,implement_HashMap,python,variable O(1) -> O(n), passed,15,finished easy system design
2025-06-18,49,group_anagrams,python,O(n),passed,5,finished medium
2025-06-22,215,kth_largest_element,python,O(n),passed,2,finished medium
2025-06-27,-,num_is_islands_with_union,python,O(n),passed,20,finished medium
2025-07-12,200, num_islands_dfs,python,O(mn),passed,~,finished medium
